firstName,gender,total,year
Jennifer,F,54336,1983
Jessica,F,45278,1983
Amanda,F,33752,1983
Ashley,F,33292,1983
Sarah,F,27228,1983
Melissa,F,23472,1983
Nicole,F,22392,1983
Stephanie,F,22323,1983
Heather,F,20749,1983
Elizabeth,F,19838,1983
Crystal,F,17904,1983
Amy,F,17095,1983
Michelle,F,16828,1983
Tiffany,F,15960,1983
Kimberly,F,15374,1983
Christina,F,15359,1983
Amber,F,14886,1983
Erin,F,14835,1983
Rebecca,F,14711,1983
Rachel,F,14588,1983
Megan,F,14123,1983
Angela,F,13219,1983
Laura,F,13192,1983
Lauren,F,12944,1983
Emily,F,12375,1983
Kelly,F,11584,1983
Lisa,F,11466,1983
Jamie,F,11029,1983
Danielle,F,10634,1983
Andrea,F,10413,1983
Sara,F,10084,1983
Mary,F,9893,1983
Erica,F,9707,1983
Katherine,F,9682,1983
Lindsey,F,8679,1983
Lindsay,F,8620,1983
Kristen,F,8616,1983
Shannon,F,8424,1983
April,F,8205,1983
Samantha,F,7707,1983
Alicia,F,7492,1983
Kristin,F,7266,1983
Maria,F,6838,1983
Courtney,F,6746,1983
Katie,F,6700,1983
Julie,F,6653,1983
Christine,F,6494,1983
Holly,F,6387,1983
Vanessa,F,6384,1983
Kathryn,F,6370,1983
Tara,F,6273,1983
Natalie,F,5726,1983
Monica,F,5403,1983
Jacqueline,F,5402,1983
Anna,F,5219,1983
Brandi,F,5203,1983
Brandy,F,5192,1983
Victoria,F,5046,1983
Allison,F,4971,1983
Patricia,F,4923,1983
Stacy,F,4678,1983
Cynthia,F,4552,1983
Kristina,F,4383,1983
Brittany,F,4377,1983
Carrie,F,4297,1983
Catherine,F,4250,1983
Leslie,F,4244,1983
Veronica,F,4069,1983
Diana,F,4036,1983
Cassandra,F,4004,1983
Natasha,F,3951,1983
Dana,F,3923,1983
Kathleen,F,3923,1983
Valerie,F,3903,1983
Meghan,F,3887,1983
Stacey,F,3798,1983
Karen,F,3791,1983
Krystal,F,3716,1983
Melanie,F,3551,1983
Erika,F,3547,1983
Kayla,F,3527,1983
Leah,F,3479,1983
Alexis,F,3463,1983
Candice,F,3419,1983
Julia,F,3380,1983
Susan,F,3352,1983
Misty,F,3188,1983
Sandra,F,3171,1983
Tracy,F,3158,1983
Latoya,F,3151,1983
Pamela,F,3026,1983
Margaret,F,2942,1983
Nichole,F,2928,1983
Desiree,F,2914,1983
Heidi,F,2914,1983
Brooke,F,2865,1983
Renee,F,2848,1983
Jill,F,2788,1983
Bethany,F,2765,1983
Tina,F,2742,1983
Kara,F,2714,1983
Chelsea,F,2706,1983
Teresa,F,2701,1983
Candace,F,2697,1983
Stefanie,F,2666,1983
Dawn,F,2640,1983
Sheena,F,2632,1983
Katrina,F,2603,1983
Denise,F,2572,1983
Casey,F,2556,1983
Sabrina,F,2554,1983
Marquita,F,2543,1983
Nancy,F,2520,1983
Lori,F,2519,1983
Jillian,F,2513,1983
Alison,F,2491,1983
Monique,F,2484,1983
Miranda,F,2479,1983
Linda,F,2473,1983
Brenda,F,2433,1983
Gina,F,2417,1983
Theresa,F,2415,1983
Rachael,F,2410,1983
Hannah,F,2398,1983
Wendy,F,2388,1983
Robin,F,2387,1983
Jaclyn,F,2386,1983
Lacey,F,2383,1983
Molly,F,2310,1983
Anne,F,2305,1983
Tamara,F,2279,1983
Jenny,F,2248,1983
Kristy,F,2241,1983
Tanya,F,2226,1983
Ebony,F,2216,1983
Kelli,F,2162,1983
Tabitha,F,2157,1983
Melinda,F,2143,1983
Joanna,F,2120,1983
Adrienne,F,2078,1983
Alisha,F,2048,1983
Krista,F,2043,1983
Barbara,F,2019,1983
Colleen,F,2009,1983
Kari,F,1998,1983
Christy,F,1974,1983
Tonya,F,1957,1983
Meredith,F,1939,1983
Deanna,F,1921,1983
Carolyn,F,1913,1983
Abigail,F,1908,1983
Rebekah,F,1900,1983
Caitlin,F,1884,1983
Kristi,F,1870,1983
Michele,F,1837,1983
Tasha,F,1832,1983
Ann,F,1812,1983
Jaime,F,1782,1983
Tammy,F,1782,1983
Sharon,F,1779,1983
Marie,F,1749,1983
Bridget,F,1748,1983
Alexandra,F,1695,1983
Whitney,F,1688,1983
Virginia,F,1679,1983
Latasha,F,1665,1983
Morgan,F,1659,1983
Regina,F,1651,1983
